1479	158	3	8.13
2562	102	7	12.07
186	168	14	12.54
1128	3704	4	45.57
664	597	5	25.75
951	1179	4	30.23
1944	123	4	6.97
399	114	17	11.71
2800	130	3	9.08
225	143	12	6.97
176	531	5	9.46
120	281	16	6.8
385	600	4	14.09
435	338	5	15.01
8	2536	4	16.77
2251	123	4	8.7
3727	102	5	8.62
1677	108	8	11.09
729	158	4	8.01
141	3776	4	21.47
3069	111	5	12.35
1760	21	4	15.27
563	2853	6	67.53
272	220	8	15.12
524	319	3	7.06
152	643	12	38.61
103	287	49	15.09
278	457	9	36.38
135	1101	4	7.24
126	4870	3	12.01
301	1078	3	11.71
188	1015	4	11.14
1777	347	3	16.27
256	370	5	9.89
602	372	3	8.81
398	1271	3	14.89
784	263	5	19.37
159	4638	4	29.87
122	214	30	18.49
660	958	3	15.74
4795	110	4	12.89
102	2305	7	7.14
2196	117	4	6.88
3255	101	6	9.01
193	2792	3	14.29
2301	239	3	14.87
755	1029	4	25.98
111	6471	3	10.42
745	664	3	14.16
2209	282	6	46.92
563	354	4	14.17
111	6395	3	10.42
527	568	3	11.25
111	144	86	18.98
200	1186	3	8.81
1707	121	5	8.38
909	204	5	15.42
178	1785	3	10.08
12	5809	3	8.74
274	209	6	6.95
720	1117	21	255.69
3049	101	7	10.51
588	103	26	13.42
1021	122	8	13.52
109	1494	8	7.73
105	1906	9	14.7
360	856	3	10.77
3554	126	3	9.92
372	146	12	23.96
206	133	15	7.87
261	117	28	19
6369	104	3	7.59
179	109	65	6.95
167	726	8	25.17
1063	159	5	15.58
398	402	4	11.12
539	247	4	9.76
104	4202	4	10.12
9	2229	5	20.38
101	668	30	16.2
113	4667	3	7.37
101	608	33	21.46
3067	974	3	31.81
141	144	25	12.6
12	3068	6	17.48
591	565	3	12.03
6133	104	3	7.59
112	2734	5	10.17
2214	209	3	13.49
268	1133	3	10.92
141	216	13	7.12
111	1535	7	7.63
6496	110	3	9.66
988	219	3	8.05
392	641	4	14.62
133	2635	4	14.67
176	1297	3	7.99
102	1658	12	14.74
846	268	3	8.72
1196	394	3	14.98
158	394	7	10.02
104	916	16	11.31
631	173	5	10.24
394	158	7	10.02
1422	102	12	7.09
119	4730	3	13.65
3017	116	5	15.23
444	2299	4	30.15
163	3434	3	14.29
105	3403	5	8.48
290	111	31	13.43
9	885	5	8.3
2305	105	6	8.16
181	136	17	8.54
112	369	22	10.19
2516	297	3	17.87
169	1436	4	13.92
880	403	3	12.19
1383	653	3	18.33
111	3828	5	17.37
106	6040	3	8.92
1429	251	3	12.67
714	441	5	24.15
345	233	5	8.93
275	440	4	8.34
3758	102	5	8.62
4584	156	3	17.44
1293	16	3	7.55
12	205	56	6.98
1735	211	4	18.56
14	4592	4	12.22
561	614	5	25.22
175	306	7	9.13
490	676	3	11.86
148	366	7	6.64
516	158	10	26.34
1488	4793	4	53.19
125	175	24	7.18
1124	8	5	11.82
213	1204	3	8.9
1868	145	3	8.25
104	745	26	41.84
148	486	7	10.83
112	220	46	22.42
964	248	3	8.83
12	457	22	6.66
381	401	16	90.13
2266	14	7	12.84
2302	132	3	8.12
103	1197	16	21.19
146	1940	3	8.68
165	14	71	7.07
112	123	170	11.35
319	973	3	11.16
570	880	4	21.97
2107	129	3	6.69
525	477	3	9.29
1278	165	3	6.78
251	150	12	13.6
5361	104	3	7.59
216	4772	4	33.39
144	117	49	8.53
163	1964	10	75.18
185	141	16	8.6
650	1625	3	21.01
154	467	6	7.72
2148	110	6	7.65
3263	110	5	11.15
166	135	18	7.64
710	524	3	12.34
117	1860	6	11.92
152	3438	3	13.07
591	107	19	11.54
108	5814	3	9.15
61	110	3	9.66
397	859	3	11.42
932	444	3	12.75
244	404	5	10.37
1759	267	3	14.32
978	278	5	22.93
407	642	3	9.96
648	289	4	12.59
803	298	3	9.93
102	4596	4	6.89
122	467	13	11.66
665	5844	3	33.85
168	2546	3	12.14
261	1302	3	11.77
122	570	11	11.14
1940	128	4	9.89
168	4462	3	18.04
1558	1492	4	36.46
182	101	141	44.13
217	141	17	16.4
965	444	3	13
112	3856	4	9.61
118	1628	5	7.65
123	671	9	9.55
112	5925	3	10.68
164	455	6	8.83
124	3514	3	7.95
685	112	13	7.71
106	119	271	8.66
241	144	12	12.31
2815	9	4	18.45
761	121	10	13.38
106	181	66	9.57
6501	106	3	8.92
108	5127	3	9.15
349	1555	3	14.93
354	476	3	7.02
2235	951	3	25.71
233	1881	7	61.07
158	1536	3	8.13
690	832	3	15.34
105	2378	8	15.58
191	1755	3	10.52
231	118	48	57.15
6222	108	3	9.15
57	21	8	20.76
1417	236	4	18.31
369	296	5	13.19
794	108	17	17.21
2829	102	7	12.07
243	116	24	10.05
3769	108	3	9.15
103	484	45	61.1
2793	140	3	10.5
140	123	50	13.14
108	213	61	23.73
1442	145	3	7.23
828	348	7	38.16
272	369	5	11.57
1604	425	3	16.62
386	260	4	6.85
103	440	31	9.4
2925	114	4	8.95
106	791	14	8.4
611	160	5	8.39
117	529	21	36.61
123	12	264	42.62
348	828	7	38.16
390	973	4	20.03
1061	184	5	16.52
887	591	3	14.55
1486	272	3	13.16
1598	238	4	18.37
695	258	3	7.89
135	140	32	19.35
212	1947	3	12.16
110	102	975	43.25
110	6244	3	9.66
1035	1845	7	71.15
966	127	5	6.71
389	105	29	8.77
301	211	7	13.3
2963	1613	3	31.81
577	708	7	44.41
207	996	3	7.46
110	6348	3	9.66
1078	251	3	9.87
267	441	4	7.91
353	62	4	7.22
221	718	5	16.32
140	684	6	9.66
127	347	14	14.95
103	988	14	8.52
177	361	9	17.5
529	685	3	12
431	1244	3	15.97
226	245	8	12.58
243	792	3	7.52
1164	212	3	8.43
296	185	7	9.78
4311	110	4	12.89
121	134	118	137.98
829	259	3	8.12
182	2528	3	13.1
139	388	20	52.06
101	3991	5	7.51
191	1246	3	8.73
110	4957	4	12.89
2712	110	5	8.62
3708	110	5	16.11
1171	112	9	8.6
102	9	195	9
168	146	16	8.87
110	3040	5	8.62
566	204	4	6.84
202	172	29	73.22
1575	101	10	6.76
4104	103	5	11.04
2545	1564	3	29.55
4080	496	3	25.64
974	884	5	41.92
998	112	10	8.19
6542	107	3	9
3219	115	3	7.14
165	742	4	7.19
114	107	292	15.21
325	115	24	20.62
187	1591	4	14.68
112	684	13	8.26
209	361	9	21.62
104	112	612	62.37
448	576	4	15.61
1322	104	10	8.12
167	2657	3	12.5
102	1603	11	7.71
1085	212	14	88.06
116	3352	5	17.99
206	2377	3	13.49
490	101	36	11.47
338	183	6	6.93
1057	295	3	12.07
104	240	56	13.69
148	1046	4	7.7
122	3567	4	15.14
338	284	5	11.36
110	3809	4	8.33
139	1289	6	17.42
292	1245	3	13.1
269	724	3	8.03
407	272	6	17.2
183	1333	3	7.94
2669	6434	3	44.08
3032	125	3	7.56
108	3311	5	10.33
573	123	13	17.57
2864	111	5	9.77
2374	12	6	7.61
137	2447	3	11.5
3802	521	3	26.05
3185	113	4	8.4
142	244	17	24.46
21	1275	3	7.1
125	2406	3	6.66
1180	102	13	6.63
267	1208	4	16.85
4323	105	4	10.62
154	971	4	7.88
697	950	3	16.24
105	1141	14	18.37
101	564	34	16.72
531	111	22	25.09
138	4707	3	15.21
388	136	21	56.46
503	616	5	24.35
387	621	3	9.03
233	411	35	227.64
13	539	4	7.72
4054	102	5	8.62
5093	105	3	7.96
124	3084	3	7.95
1165	127	5	8.53
118	113	187	7.72
130	2411	4	12.46
143	130	34	14.34
2119	1638	3	28.97
709	369	3	10.11
163	1299	3	7.29
716	1337	3	18.62
270	244	6	9.3
1624	2028	4	41.09
691	287	4	13.27
592	253	4	10.11
342	114	19	12.3
101	164	143	15.67
115	2510	4	9.02
2590	1583	3	29.55
565	118	11	8.32
110	1113	10	8.96
1262	184	3	8.7
1118	211	3	9.41
1189	585	3	16.46
2630	135	3	10.54
3585	106	4	7.4
106	5526	3	8.92
2170	148	4	14.68
3297	103	5	11.04
754	101	23	8.03
283	124	18	14.56
1841	141	8	37.89
4174	5372	3	50.17
3716	101	5	7.51
264	134	12	8.32
3048	1029	7	88.18
180	432	7	14.01
118	4968	3	9.14
114	354	17	9.06
819	399	3	11.3
403	341	6	19.37
101	3049	7	10.51
2247	9	3	8.46
113	137	93	25.86
769	135	8	19.21
101	3107	6	9.01
356	101	53	27.14
110	6155	3	9.66
621	276	3	6.74
444	2868	3	21.33
338	435	5	15.01
490	345	7	29.55
476	386	3	7.32
111	2620	5	7.95
165	1684	6	28.26
164	2562	3	13.07
278	1017	6	30.55
3048	1869	7	99.4
1949	112	6	11.02
1592	522	3	17.9
663	176	4	6.86
921	146	26	184.78
127	171	25	9.48
324	578	3	7.81
253	592	4	10.11
3123	112	5	17.81
462	181	5	7.28
103	733	19	8.25
127	103	229	7.34
537	174	5	8.64
451	467	4	13.23
110	2859	5	8.62
277	307	4	6.75
297	320	4	7.09
1341	874	3	19.83
1962	163	3	9.96
768	106	13	6.98
102	528	38	31.9
501	165	5	6.84
120	739	9	8.42
107	104	758	45.39
9	1144	5	12.78
104	1117	12	7.66
6047	106	3	8.92
107	167	68	8.17
357	141	34	125.48
117	200	32	9.22
124	3771	5	26.39
222	12	49	7.15
112	3493	5	12.77
396	277	4	8.03
541	369	6	26.61
673	328	3	8.65
1420	220	3	10.67
156	447	8	14.31
12	3274	4	11.65
208	401	5	7.54
8	108	109	9.4
327	860	4	16.94
686	156	8	22.28
217	896	3	7.8
240	102	72	9.7
198	179	17	24.97
110	559	31	50.57
105	6452	3	7.96
110	348	27	10.88
1845	4886	4	55.31
353	385	5	14.41
267	338	18	80.61
102	482	27	7.36
684	142	7	14.35
216	1997	4	19.18
14	4116	3	9.16
307	586	3	7.81
413	111	21	8.65
859	1840	3	22.15
1196	1694	3	26.36
104	1346	14	21.6
3351	4884	3	41.85
1	1310	3	11.02
2444	299	3	18.21
643	180	6	14.88
127	217	23	17.06
103	782	18	9.04
4780	441	3	26.36
164	4583	3	17.99
370	220	11	35.12
109	5313	3	8.91
442	989	4	23.28
1750	1043	4	34.48
127	260	19	16.79
1114	4676	3	33.95
116	1036	15	41.62
105	234	56	12.13
910	460	3	12.48
960	1085	3	18.88
110	471	22	12.19
1147	298	3	12.68
14	1235	10	12.33
267	126	15	6.83
116	884	26	112.74
1147	104	11	7.28
686	110	15	9.46
1078	565	4	23.65
339	161	7	7.7
115	3307	4	10.71
101	1528	12	9.1
419	141	10	14.66
257	295	5	10
103	4598	4	8.83
218	337	6	9.66
257	221	6	8.04
178	1323	3	7.94
569	419	15	98.36
1244	163	3	7.64
1392	106	8	6.66
1598	508	5	35.54
1883	112	6	8.06
673	165	5	9.41
3558	119	3	7.35
183	103	89	7.59
923	201	5	16.13
236	126	16	7.06
353	1135	3	13.06
104	4781	4	10.12
2177	9	4	12.95
316	767	6	28.43
154	753	4	6.82
378	204	6	9.65
2221	126	4	10.15
592	109	18	8.47
261	840	3	8.41
872	1411	3	20.45
474	1064	7	46.94
504	439	3	8.88
2901	269	5	36.99
1118	298	4	19.87
2197	1128	4	41.02
579	110	20	14.55
161	764	5	10.54
211	103	67	7.92
143	115	136	193.6
194	613	4	7.03
304	270	12	41.42
105	3866	5	13.27
1047	241	3	9.58
1995	208	3	11.98
126	1829	4	7.64
3386	108	4	7.68
6381	136	3	19.63
488	961	3	13.49
149	3481	3	12.67
202	1208	3	8.37
